Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
105  -0.235185  -0.397087  -0.529325  0.096600  -0.037686  9.732298  33.67  0.000  0.000  0.000  
106  -0.213185  -0.343057  -0.558732  0.103856  -0.029269  9.733440  33.67  0.000  0.000  0.000  
107  -0.205263  -0.373271  -0.574243  0.095567  -0.020088  9.740607  33.67  0.000  0.000  0.000  
108  -0.318714  -0.374764  -0.551999  0.093222  -0.016085  9.729955  33.67  0.000  0.000  0.000  
109  -0.258326  -0.359516  -0.506206  0.097210  -0.035738  9.740808  33.69  0.000  0.000  0.000  
110  -0.274592  -0.299256  -0.497751  0.105747  -0.018941  9.735298  33.69  0.000  0.000  0.000  
111  -0.266116  -0.321285  -0.498212  0.102723  -0.023651  9.725033  33.69  0.000  0.000  0.000  
112  -0.242887  -0.373533  -0.566881  0.107451  -0.029617  9.722497  33.69  0.000  0.000  0.000  
113  -0.227661  -0.387926  -0.619937  0.099640  -0.031400  9.744818  33.69  0.000  0.000  0.000  
114  -0.280736  -0.389549  -0.559618  0.094393  -0.018446  9.732111  33.69  0.000  0.000  0.000  
115  -0.273230  -0.358699  -0.551691  0.112830  -0.028857  9.736616  33.69  0.000  0.000  0.000  
116  -0.220236  -0.366424  -0.513776  0.091252  -0.033356  9.742702  33.69  0.000  0.000  0.000  
117  -0.175896  -0.289373  -0.542758  0.098003  -0.016104  9.734209  33.69  0.000  0.000  0.000  
118  -0.228695  -0.344839  -0.483076  0.103793  -0.035000  9.740725  33.69  0.000  0.000  0.000  
119  -0.175259  -0.335267  -0.528291  0.087755  -0.024437  9.735914  33.69  0.000  0.000  0.000  
120  -0.228286  -0.334857  -0.596522  0.097972  -0.019760  9.727709  33.69  0.000  0.000  0.000  
121  -0.213429  -0.311930  -0.588588  0.101449  -0.030348  9.738245  33.69  0.000  0.000  0.000  
122  -0.258803  -0.358937  -0.581686  0.097324  -0.025710  9.714976  33.69  0.000  0.000  0.000  
123  -0.258740  -0.327900  -0.581382  0.099041  -0.031321  9.745934  33.69  0.000  0.000  0.000  
124  -0.213331  -0.367036  -0.521128  0.092526  -0.026107  9.728477  33.69  0.000  0.000  0.000  
125  -0.213588  -0.343085  -0.588866  0.105657  -0.027694  9.740707  33.69  0.000  0.000  0.000  
126  -0.206061  -0.320297  -0.558342  0.103232  -0.032239  9.728548  33.69  0.000  0.000  0.000  
127  -0.281764  -0.298273  -0.535692  0.090730  -0.025403  9.741323  33.69  0.000  0.000  0.000  
128  -0.235761  -0.358975  -0.536328  0.090721  -0.025909  9.746095  33.69  0.000  0.000  0.000  
129  -0.258930  -0.344541  -0.521003  0.097925  -0.023586  9.738184  33.69  0.000  0.000  0.000  
130  -0.289108  -0.391427  -0.506500  0.100895  -0.024335  9.752326  33.69  0.000  0.000  0.000  
131  -0.273248  -0.367042  -0.513962  0.099802  -0.015584  9.736578  33.69  0.000  0.000  0.000  
132  -0.228733  -0.336333  -0.535912  0.097281  -0.029915  9.719213  33.69  0.000  0.000  0.000  
133  -0.228544  -0.366713  -0.558968  0.103901  -0.024966  9.726162  33.69  0.000  0.000  0.000  
134  -0.236015  -0.351429  -0.543740  0.112866  -0.024287  9.743372  33.70  0.000  0.000  0.000  
135  -0.160495  -0.350108  -0.588782  0.099068  -0.028885  9.740181  33.70  0.000  0.000  0.000  
136  -0.229212  -0.306306  -0.512778  0.100842  -0.029860  9.752694  33.70  0.000  0.000  0.000  
137  -0.236403  -0.305463  -0.543153  0.097866  -0.030418  9.729927  33.70  0.000  0.000  0.000  
138  -0.183739  -0.352640  -0.482865  0.089581  -0.020291  9.739107  33.70  0.000  0.000  0.000  
139  -0.206137  -0.320274  -0.565882  0.105582  -0.035573  9.740239  33.71  0.000  0.000  0.000  
140  -0.266513  -0.320144  -0.603957  0.105128  -0.021373  9.732730  33.71  0.000  0.000  0.000  
141  -0.228287  -0.373675  -0.589362  0.101472  -0.027728  9.739471  33.71  0.000  0.000  0.000  
142  -0.205308  -0.421740  -0.446176  0.098431  -0.032433  9.747235  33.71  0.000  0.000  0.000  
143  -0.175648  -0.366353  -0.551189  0.093117  -0.026572  9.730262  33.71  0.000  0.000  0.000  
144  -0.304303  -0.344526  -0.551424  0.096018  -0.035564  9.732941  33.70  0.000  0.000  0.000  
145  -0.243584  -0.375081  -0.521325  0.101984  -0.037508  9.728106  33.70  0.000  0.000  0.000  
146  -0.274362  -0.337559  -0.505777  0.097892  -0.025555  9.754853  33.70  0.000  0.000  0.000  
147  -0.236343  -0.305042  -0.565852  0.103363  -0.018480  9.732299  33.70  0.000  0.000  0.000  
148  -0.243988  -0.366906  -0.581623  0.106209  -0.033078  9.729707  33.70  0.000  0.000  0.000  
149  -0.312228  -0.344928  -0.558916  0.099639  -0.032527  9.726563  33.71  0.000  0.000  0.000  
150  -0.205390  -0.358875  -0.513560  0.097160  -0.040413  9.746229  33.71  0.000  0.000  0.000  
151  -0.205528  -0.381103  -0.589373  0.097209  -0.035419  9.741158  33.71  0.000  0.000  0.000  
152  -0.198897  -0.297256  -0.573085  0.092510  -0.026340  9.744907  33.71  0.000  0.000  0.000  
153  -0.273110  -0.396091  -0.627735  0.100243  -0.031470  9.735983  33.71  0.000  0.000  0.000  
154  -0.326316  -0.405731  -0.559900  0.106332  -0.020804  9.729119  33.69  0.000  0.000  0.000  
155  -0.220754  -0.366709  -0.536317  0.109659  -0.045500  9.757170  33.69  0.000  0.000  0.000  
156  -0.213450  -0.350889  -0.573862  0.097283  -0.029168  9.724345  33.69  0.000  0.000  0.000  
157  -0.221266  -0.360987  -0.445366  0.093018  -0.035212  9.749825  33.69  0.000  0.000  0.000  
158  -0.236334  -0.328482  -0.550973  0.103896  -0.022570  9.763391  33.69  0.000  0.000  0.000  
159  -0.221432  -0.321096  -0.535651  0.107963  -0.035973  9.749126  33.70  0.000  0.000  0.000  
160  -0.282224  -0.259903  -0.550288  0.077531  -0.031649  9.717318  33.70  0.000  0.000  0.000  
161  -0.221094  -0.373935  -0.596793  0.095489  -0.027388  9.743258  33.70  0.000  0.000  0.000  
162  -0.251648  -0.282423  -0.550499  0.085870  -0.033089  9.742995  33.70  0.000  0.000  0.000  
163  -0.243769  -0.343533  -0.573881  0.102705  -0.022663  9.755134  33.70  0.000  0.000  0.000  
164  -0.259315  -0.297991  -0.558222  0.106173  -0.037710  9.722404  33.70  0.000  0.000  0.000  
165  -0.258929  -0.335754  -0.588972  0.091867  -0.031165  9.742126  33.70  0.000  0.000  0.000  
166  -0.236743  -0.321475  -0.535660  0.102558  -0.039020  9.737680  33.70  0.000  0.000  0.000  
167  -0.259127  -0.337158  -0.513308  0.102141  -0.021404  9.726768  33.70  0.000  0.000  0.000  
168  -0.281060  -0.367770  -0.491240  0.104888  -0.045223  9.745961  33.70  0.000  0.000  0.000  
169  -0.259322  -0.320988  -0.573582  0.090692  -0.028569  9.746910  33.68  0.000  0.000  0.000  
170  -0.289098  -0.367846  -0.528945  0.090113  -0.029215  9.715352  33.68  0.000  0.000  0.000  
171  -0.191049  -0.305618  -0.505165  0.097862  -0.031883  9.718455  33.68  0.000  0.000  0.000  
172  -0.229236  -0.328859  -0.558378  0.099706  -0.025290  9.730126  33.68  0.000  0.000  0.000  
173  -0.190983  -0.359253  -0.535989  0.106852  -0.028395  9.733190  33.68  0.000  0.000  0.000  
174  -0.251616  -0.352161  -0.543669  0.104527  -0.021085  9.736653  33.71  0.000  0.000  0.000  
175  -0.289757  -0.313890  -0.566009  0.104390  -0.035501  9.732450  33.71  0.000  0.000  0.000  
176  -0.251378  -0.367466  -0.536334  0.097863  -0.030051  9.735580  33.71  0.000  0.000  0.000  
177  -0.176711  -0.265987  -0.617905  0.106234  -0.030832  9.727659  33.71  0.000  0.000  0.000  
